"Male","Female","Mate","Cross","Findex","Mindex"
"10","10",1,"R/R",1,1
"10","12",1,"R/R",3,1
"10","28",1,"W/R",19,1
"10","26",1,"W/R",17,1
"10","11",1,"R/R",2,1
"10","25",0,"W/R",16,1
"11","13",1,"R/R",4,3
"11","12",1,"R/R",3,3
"11","26",0,"W/R",17,3
"11","29",0,"W/R",20,3
"11","25",0,"W/R",16,3
"11","14",1,"R/R",5,3
"12","27",0,"W/R",18,5
"12","28",1,"W/R",19,5
"12","29",1,"W/R",20,5
"12","11",1,"R/R",2,5
"12","14",1,"R/R",5,5
"12","12",1,"R/R",3,5
"13","10",1,"R/R",1,4
"13","28",0,"W/R",19,4
"13","25",0,"W/R",16,4
"13","27",0,"W/R",18,4
"13","14",1,"R/R",5,4
"13","13",1,"R/R",4,4
"14","26",1,"W/R",17,2
"14","10",1,"R/R",1,2
"14","27",0,"W/R",18,2
"14","13",1,"R/R",4,2
"14","29",0,"W/R",20,2
"14","11",1,"R/R",2,2
"15","24",0,"W/R",15,15
"15","18",1,"R/R",9,15
"15","17",1,"R/R",8,15
"15","16",0,"R/R",7,15
"15","22",0,"W/R",13,15
"15","21",0,"W/R",12,15
"16","22",0,"W/R",13,12
"16","21",0,"W/R",12,12
"16","19",0,"R/R",10,12
"16","20",1,"W/R",11,12
"16","15",0,"R/R",6,12
"16","18",0,"R/R",9,12
"17","16",0,"R/R",7,13
"17","23",1,"W/R",14,13
"17","22",0,"W/R",13,13
"17","19",0,"R/R",10,13
"17","15",1,"R/R",6,13
"17","24",0,"W/R",15,13
"18","15",1,"R/R",6,11
"18","23",0,"W/R",14,11
"18","16",1,"R/R",7,11
"18","21",0,"W/R",12,11
"18","20",0,"W/R",11,11
"18","17",1,"R/R",8,11
"19","24",0,"W/R",15,14
"19","20",0,"W/R",11,14
"19","18",1,"R/R",9,14
"19","17",0,"R/R",8,14
"19","23",0,"W/R",14,14
"19","19",0,"R/R",10,14
"20","14",1,"R/W",5,18
"20","10",0,"R/W",1,18
"20","12",0,"R/W",3,18
"20","28",1,"W/W",19,18
"20","27",1,"W/W",18,18
"20","26",1,"W/W",17,18
"21","29",1,"W/W",20,20
"21","27",1,"W/W",18,20
"21","14",1,"R/W",5,20
"21","11",1,"R/W",2,20
"21","25",0,"W/W",16,20
"21","13",1,"R/W",4,20
"22","28",1,"W/W",19,19
"22","25",1,"W/W",16,19
"22","12",1,"R/W",3,19
