"Mate","Cross","Mindex","Findex"
1,"R/R",1,1
1,"W/R",1,17
1,"R/R",1,3
1,"W/R",1,19
0,"W/R",1,16
1,"R/R",1,2
1,"R/R",2,4
1,"W/R",2,17
0,"W/R",2,20
1,"R/R",2,1
1,"R/R",2,2
0,"W/R",2,18
0,"W/R",3,16
0,"W/R",3,17
0,"W/R",3,20
1,"R/R",3,5
1,"R/R",3,3
1,"R/R",3,4
1,"R/R",4,4
1,"R/R",4,1
0,"W/R",4,16
1,"R/R",4,5
0,"W/R",4,18
0,"W/R",4,19
1,"R/R",5,3
1,"R/R",5,2
1,"W/R",5,19
1,"R/R",5,5
0,"W/R",5,18
1,"W/R",5,20
0,"W/W",6,13
1,"W/W",6,11
1,"R/W",6,6
1,"W/W",6,14
0,"R/W",6,7
1,"R/W",6,9
1,"W/W",7,14
1,"W/W",7,15
0,"R/W",7,7
1,"R/W",7,9
1,"W/W",7,11
1,"R/W",7,10
0,"R/W",8,8
1,"W/W",8,13
0,"W/W",8,12
1,"R/W",8,10
1,"R/W",8,6
0,"W/W",8,15
1,"W/W",9,14
0,"W/W",9,12
0,"R/W",9,9
1,"R/W",9,8
1,"W/W",9,11
1,"R/W",9,6
0,"W/W",10,13
0,"R/W",10,7
0,"W/W",10,15
1,"W/W",10,12
0,"R/W",10,10
0,"R/W",10,8
0,"W/R",11,12
0,"W/R",11,11
1,"R/R",11,7
0,"W/R",11,14
1,"R/R",11,8
1,"R/R",11,6
0,"W/R",12,12
0,"R/R",12,6
0,"W/R",12,13
1,"W/R",12,11
0,"R/R",12,10
0,"R/R",12,9
1,"R/R",13,6
0,"W/R",13,15
0,"W/R",13,13
0,"R/R",13,10
1,"W/R",13,14
0,"R/R",13,7
0,"W/R",14,15
0,"R/R",14,8
1,"R/R",14,9
0,"W/R",14,11
0,"R/R",14,10
0,"W/R",14,14
0,"W/R",15,12
1,"R/R",15,8
0,"W/R",15,15
0,"R/R",15,7
1,"R/R",15,9
0,"W/R",15,13
1,"W/W",16,17
0,"R/W",16,4
1,"R/W",16,2
0,"W/W",16,16
1,"W/W",16,18
1,"R/W",16,1
1,"W/W",17,17
1,"R/W",17,4
1,"W/W",17,19
0,"W/W",17,20
1,"R/W",17,1
1,"R/W",17,3
1,"W/W",18,17
1,"W/W",18,19
0,"R/W",18,1
0,"R/W",18,3
1,"W/W",18,18
1,"R/W",18,5
1,"W/W",19,19
1,"R/W",19,5
